Customer ID,Company Name,Street Address,City,State,Postal Code
A103721,Antecee,32 Chestnut Street ,Brockton,MA,02301
A133521,Difible,8197 Clark Ave. ,Franklin Square,NY,11010
A105421,Melon Arts,562 Pierce Lane ,West Warwick,RI,02893
A142721,Pluscore,848 Acacia Ave. ,Cottage Grove,MN,55016
A111921,Phantomedia,93 Birch Hill St. ,Flemington,NJ,08822
A114521,Portill,9301 Heritage Drive ,Los Angeles,CA,90008
A134521,Dragonetworks,9334 Gainsway Dr. ,Havertown,PA,19083
A136821,Daltflex,821 West High Point Ave. ,Caldwell,NJ,07006
A106721,Hot-Plus,89 Greenview Street ,Chatsworth,GA,30705
A173921,Ganzquadway,6 York Lane ,Henrico,VA,23228
A166021,Motionbite,155 Briarwood St. ,Kokomo,IN,46901
A148121,Pumpkinavigation,396 Trusel Street ,Sicklerville,NJ,08081
A169921,Alinix,50 N. Warren Street ,Ballston Spa,NY,12020
A195721,Symity,8942 Woodside Ave. ,Twin Falls,ID,83301
A185521,Fasehouse,45 SE. Shady Street ,Appleton,WI,54911
A145021,Laudend,9486 Sleepy Hollow Drive ,Butte,MT,59701
A188821,Inranity,8856 Buckingham St. ,Rochester,NY,14606
A174621,Trust-Touch,358 Oklahoma Ave. ,Melrose,MA,02176
A171721,Neoveo,86 Devonshire Dr. ,Middleburg,FL,32068
A166821,Goldjob,97 Pineknoll Street ,Sugar Land,TX,77478
A112221,Signal Acoustics,64 East Bay Meadows St. ,New Brunswick,NJ,08901
A144421,Maroon Cartoons,8 8th Ave. ,Absecon,NJ,08205
A153321,Peterson Advertising ,417 Plumb Branch St. ,Downers Grove,IL,60515
A196221,Stronglane,63 Oakland Ave. ,Montgomery,AL,36109
A132821,Animive,8991 Brickyard Ave. ,Langhorne,PA,19047
A134421,Daydreamotors,261 Central St. ,Little Rock,AR,72209
A196421,Blossomworks,4 West Birchpond Ave. ,Canfield,OH,44406
A111421,Transplanet,42 Kent St. ,Bay City,MI,48706
A150621,Overcorporation,448 Surrey St. ,Flushing,NY,11354
A188021,Phystexon,6 Beechwood Drive ,Middleton,WI,53562
A104221,Ventolane,244 N. Newport Ave. ,Sunnyside,NY,11104
A123221,"Pym's Publicity",32 10th St. ,Cumberland,RI,02864
A115121,Zevo Toys,756 South Glenridge St. ,Clearwater,FL,33756
A173321,Hishii Industries,53 Blue Spring St. ,New Hyde Park,NY,11040
A150821,Hotdom,518 S. Brandywine Street ,Fort Myers,FL,33905
A166621,Greenleaf Construction,8489 N. Edgewood Drive ,Dunedin,FL,34698
A182921,Sienar Fleet Systems ,2 Schoolhouse Drive ,Gettysburg,PA,17325
A199721,Venism,424 Princeton Lane ,Chapel Hill,NC,27516
A158521,Domnix,7780 West Saxon Rd. ,Macungie,PA,18062
A147321,Blossom Sports,508 South Union St. ,Passaic,NJ,07055
A113021,Lioness Foods,9501 Tower Rd. ,Merrillville,IN,46410
A121421,Unaholdings,3 Monroe Lane ,Delaware,OH,43015
A132921,Latcane,4 Pennsylvania Road ,Westport,CT,06880
A130321,Honeydustries,9536 College Ave. ,Westlake,OH,44145
A102121,Execuyo,570 Halifax Ave. ,Land O Lakes,FL,34639
A144321,Amphilane,967 Lyme Street ,Powder Springs,GA,30127
A101521,Homondo,98 Parker Rd. ,Longview,TX,75604
A118921,The Hanso Foundation ,91 Shipley Rd. ,Loveland,OH,45140
A133221,Tantech,7115 3rd St. ,Asbury Park,NJ,07712
A162721,Mistilia,760 Cypress Street ,Vicksburg,MS,39180
A114721,Semimbee,7805 Highland Ave. ,Washington,PA,15301
A133921,Genicious,453 Sierra Road ,Paramus,NJ,07652
A112421,Avimbu,6 W. Hudson Lane ,Baldwin,NY,11510
A187421,Shadearts,8908 Orange Avenue ,Saratoga Springs,NY,12866
A119821,Glaciarts,66 53rd Ave. ,Baton Rouge,LA,70806
A167321,Duvee,580 Wayne Court ,Delaware,OH,43015
A174021,Geondo,1 Academy St. ,Lorain,OH,44052
A107121,Esive,8896 Homewood Lane ,Sandusky,OH,44870
A102221,Mazewalk,26 Thorne Street ,Lincoln Park,MI,48146
A199321,Boogalow International,182 Philmont Lane ,Kenosha,WI,53140
A167521,Sinclair Solutions,9374 Ohio St. ,Bluffton,SC,29910
A134021,Zencane,830 Lakewood Street ,Doylestown,PA,18901
A141921,Vertible,327 Prospect Street ,Glenview,IL,60025
A139021,Maricious,8785 Third Street ,Pomona,CA,91768
A197321,Tamlax,697 Dunbar St. ,Commack,NY,11725
A176221,Vapid Motors,85 Meadowbrook St. ,Covington,GA,30014
A176021,Apachetechs,618 West Bayport Street ,Oxford,MS,38655
A156021,Bellose,9064 Union St. ,Stow,OH,44224
A167721,J-Techno,7 W. Court St. ,Bloomfield,NJ,07003
A123921,Squidbeat,9427 Big Rock Cove Ave. ,Shelbyville,TN,37160
A182521,Manucee,759 Sussex Drive ,Gurnee,IL,60031
A155221,Tanstrip,17 Lafayette Lane ,Thibodaux,LA,70301
A174821,Symend,7466 Lakeview Rd. ,King Of Prussia,PA,19406
A166421,Priductions,795 E. Carriage St. ,Natchez,MS,39120
A145121,Astromia,658 Meadow Lane ,Findlay,OH,45840
A196721,Michael Scott Paper Company ,417 Manchester Ave. ,Apex,NC,27502
A144721,Paragon Productions,882 Maiden Avenue ,Rego Park,NY,11374
A183121,Capescent,593 Lower River St. ,Highland Park,IL,60035
A102621,Zummacom,660 Fawn Rd. ,Norwich,CT,06360
A180321,Cymvetica Industries,8828 Grand Ave. ,Titusville,FL,32780
A113921,Apozio,76 Center Dr. ,Bradenton,FL,34203
A116621,Luckytronics,7737 Gonzales Drive ,Ridgewood,NJ,07450
A196821,Blue Sun Corporation,601 University Ave. ,Columbia,MD,21044
A168621,Eurodoo,411 S. Berkshire Lane ,Terre Haute,IN,47802
A124921,Dolent,7763 S. Berkshire St. ,Reidsville,NC,27320
A170021,Core Records,441 Circle Lane ,Valley Stream,NY,11580
A103821,Archoid,2 Silver Spear Street ,Media,PA,19063
A181421,Maxinyx,93 East Gainsway Ave. ,Merrillville,IN,46410
A179821,Tampfix,185 George Lane ,Leesburg,VA,20175
A189921,The Pie Hole,9895 Westport Dr. ,Menasha,WI,54952
A101621,Ventoron,9124 S. Taylor Dr. ,Levittown,NY,11756
A175221,Owlshow,9047 South Atlantic Street ,Batavia,OH,45103
A192721,Duolith,9472 Devon Court ,Merrick,NY,11566
A126021,Cavologies,8357 Bay Meadows Ave. ,Pompano Beach,FL,33060
A197221,Anron,323 Lower River Street ,Johnson City,TN,37601
A193021,Socivu,51 SW. Glen Creek Ave. ,Anoka,MN,55303
A144621,Conible,7766 Beaver Ridge Drive ,Salt Lake City,UT,84119
A135821,Delia,47 Southampton Court ,Spring Hill,FL,34608
A109321,Pacific Courier ,9607 Euclid St. ,Mountain View,CA,94043
A132221,Fjord Foods,40 Lexington Lane ,Lady Lake,FL,32159
A153221,Autova,8549 Anderson Drive ,Newton,NJ,07860
A151121,Goldbooks,245 Rocky River Ave. ,Hopkinsville,KY,42240
A162821,Finend,898 Squaw Creek Court ,Zeeland,MI,49464
A169021,Infralium,319 Cedar Swamp Dr. ,Canonsburg,PA,15317
A100121,Big Apple Bank,77 N. Canterbury St. ,Boynton Beach,FL,33435
A169821,Treslamron,517 Brown Street ,Henderson,KY,42420
A197121,Anity,7196 West Bow Ridge Ave. ,Ronkonkoma,NY,11779
A128421,Signalmobile,3 Birchwood Dr. ,Canonsburg,PA,15317
A130821,Sumtexon,118 Littleton Rd. ,Jeffersonville,IN,47130
A113821,Radiant Records,8869 Forest Dr. ,Fairport,NY,14450
A176921,Contradel,9138 SW. Penn Street ,Westmont,IL,60559
A117221,Cliffmedia,394 Cedar Ave. ,Strongsville,OH,44136
A154221,Avandu,9 Hillcrest Drive ,Manchester,NH,03102
A163421,Marsoftwares,703 Laurel Lane ,Cottage Grove,MN,55016
A160021,Zeus Sports,4 Washington Drive ,Christiansburg,VA,24073
A180521,Outosis,222 Gainsway Street ,Waxhaw,NC,28173
A181721,Imagine Navigations,56 East Ridge Ave. ,Rapid City,SD,57701
A143221,Heart Motors,35 Marlborough Drive ,Chardon,OH,44024
A170821,Tempcane,9668 Hill Field St. ,Menomonee Falls,WI,53051
A155721,Twindu,93 King Avenue ,Saint Paul,MN,55104
A161921,Planetzap,45 N. Rocky River St. ,Bay City,MI,48706
A183421,Lexicore,60 Hill Field St. ,Oxford,MS,38655
A179421,Uberity,295 Gulf St. ,Des Plaines,IL,60016
A107321,Ambizio,79 E. Paris Hill St. ,Wantagh,NY,11793
A174521,Beedlectrics,86 Maiden St. ,North Kingstown,RI,02852
A164921,Corous,36 N. Ramblewood St. ,Haines City,FL,33844
A178121,Donelectronics,65 E. Lakewood St. ,Harrison Township,MI,48045
A187021,Zaamdom,17B Green Hill Lane ,Westport,CT,06880
A188521,Quasinix,503 Charles Dr. ,Saint Charles,IL,60174
A190421,VersaLife Corporation ,837 Valley View St. ,Moorhead,MN,56560
A190521,Golddrill,9385 Locust Lane ,Fremont,OH,43420
A134921,Duoware,8 Green Circle ,Millville,NJ,08332
A115321,Berry Softwares,8079 Beech St. ,Woonsocket,RI,02895
A126721,General Products ,764 Depot Street ,Niles,MI,49120
A185321,Quanti,77 SE. Iroquois Ave. ,Corpus Christi,TX,78418
A130121,The Muppet Theatre,125 Windsor Drive ,Decatur,GA,30030
A178521,Biglatcode,8050 Olive Street ,Southington,CT,06489
A129721,Hookurity,8272 William Dr. ,Evanston,IL,60201
A125621,Zimmad Company,289 W. Santa Clara Road ,Canyon Country,CA,91387
A102021,Cogilia,8864 Fulton Dr. ,Yakima,WA,98908
A184221,Striptaxon,9334 East Forest Street ,Union City,NJ,07087
A188321,Whitelab,72 Campfire Lane ,Oak Forest,IL,60452
A116721,Metaxo,23 Brandywine St. ,Natick,MA,01760
A190921,Protogen,8317 North Fulton St. ,Lutherville Timonium,MD,21093
A187621,Autozio,60 Big Rock Cove Drive ,Franklin Square,NY,11010
A140521,Tanhex,7497 Bedford Street ,Patchogue,NY,11772
A133321,Houndnavigations,8838 W. Strawberry St. ,Pensacola,FL,32503
A155921,Tempestechnologies,7895 Carpenter Court ,Palm Coast,FL,32137
A108221,Silvercane,521 James St. ,Lutherville Timonium,MD,21093
A192221,Exise,7231 Prince Drive ,Goose Creek,SC,29445
A138521,Finjob,9393 Illinois Street ,Annapolis,MD,21401
A194721,McMartin Records,9627 Bohemia Ave. ,Brunswick,GA,31525
A168521,Singlebam,8737 Fremont Ave. ,Scotch Plains,NJ,07076
A176421,Crowshadow,767 Gulf Ave. ,Elk River,MN,55330
A101721,Bigcan,16B Fairway Rd. ,Shakopee,MN,55379
A135121,Apexworth,8339 Creek Dr. ,New Bedford,MA,02740
A144821,Multimia,307 Broad Street ,Yakima,WA,98908
A181221,Trustlax,8766 Queen Avenue ,West Des Moines,IA,50265
A176721,Rootude,88 Swanson Lane ,Middle River,MD,21220
A103221,Geombee,9 Dunbar St. ,Bayside,NY,11361
A167021,Dominicious,409 Belmont Lane ,Glasgow,KY,42141
A149321,Gorillacast,203 Woodsman Street ,Sun Prairie,WI,53590
A111021,Dinocoms,851 Maple St. ,Upland,CA,91784
A129121,Medilium,9954 Prairie Street ,Piqua,OH,45356
A105721,Metropolis Moving,877 East Ridgeview St. ,Kearny,NJ,07032
A110721,Supore,8901 Anderson Ave. ,Jamestown,NY,14701
A181921,Rankquote,74 E. Brickyard Street ,Nampa,ID,83651
A164221,Bamplex,33 Laurel Ave. ,Garden City,NY,11530
A159421,Rhinotainment,245 Broad Avenue ,Piedmont,SC,29673
A109821,Tiger Aviation,9462 Glen Creek Ave. ,Hampton,VA,23666
A114021,Tiger Intelligence,17 West Delaware Lane ,Seymour,IN,47274
A173221,Griffindustries,7711 Country Dr. ,Fairport,NY,14450
A195321,Sunshine Desserts,78 Broad St. ,Huntington,NY,11743
A140421,Santaxon,920 Water St. ,Butler,PA,16001
A195121,Versatran Air Craft Division,76 Pumpkin Hill Street ,Vernon Rockville,CT,06066
A141221,Industrial Automaton,732 Plymouth Street ,Glasgow,KY,42141
A121321,Comend,13 SW. Charles Street ,Fort Worth,TX,76110
A154121,Sanway,38 Cedar Road ,Sunnyside,NY,11104
A195421,Bamfax,14 Purple Finch Court ,Cockeysville,MD,21030
A170321,Hexdozoom,7 Purple Finch Ave. ,Nicholasville,KY,40356
A148421,Motion Sports,9984 Argyle St. ,Vicksburg,MS,39180
A165521,Goodtom,64 Nichols Road ,Camas,WA,98607
A198421,Fundexon,8429 Creek Dr. ,Southaven,MS,38671
A132021,Meade Publications,25 Pacific Drive ,Milledgeville,GA,31061
A194521,Zeonic Company,46 Water Court ,Eau Claire,WI,54701
A106421,Agicy,710 East High Court ,Saint Joseph,MI,49085
A161421,ENCOM International,948 S. County Ave. ,Cranston,RI,02920
A166921,Monopolated Light and Power,674 Poor House Ave. ,Asbury Park,NJ,07712
A193221,Jethive,7354 Pearl Drive ,Lake Jackson,TX,77566
A165921,Bridgelectrics,611 NW. Hillside Ave. ,Millville,NJ,08332
A198821,Viaphase,386 White Road ,Point Pleasant Beach,NJ,08742
A109721,Whitezap,419 Purple Finch Dr. ,Roswell,GA,30075
A154821,Goldenzim,9701 Pleasant St. ,Homestead,FL,33030
A172921,Grizzly Technologies,19 West Pineknoll St. ,Mentor,OH,44060
A140821,Trippleway,560 Wood Ave. ,Newtown,PA,18940
A152321,Vertex Enterprises,745 South Saxton Lane ,Leesburg,VA,20175
A138221,Colill,116 South 2nd Ave. ,Saginaw,MI,48601
A126421,Mathcity,5 West Woodland St. ,Eastlake,OH,44095
A105321,Tampplex,65 Third St. ,Bay Shore,NY,11706
A151821,Greencon,14 53rd St. ,Leland,NC,28451
A185621,Soylent Corporation,260 Del Monte Rd. ,Salem,MA,01970
A147121,Yakinte,118 East Pawnee Dr. ,Chelmsford,MA,01824
A198721,Transworld Consortium,660 Magnolia Drive ,Elizabeth City,NC,27909
A159721,Bluetone,8767 Indian Spring Rd. ,Flemington,NJ,08822
A150021,Calcore,656 Lawrence Avenue ,Coraopolis,PA,15108
A127121,Paleore,156 Trusel Ave. ,Grayslake,IL,60030
A172721,World Company,34 North Tower Drive ,Abingdon,MD,21009
A156921,Forest Acoustics,976 Glenwood Ave. ,Glendale Heights,IL,60139
A144221,Euroxo,259 Bank St. ,Huntington Station,NY,11746
A165621,Cryptodo,541 Ohio Court ,Mebane,NC,27302
A123621,Coracy,24 Woodland St. ,Arvada,CO,80003
A119221,Tammatcare,9613 Bellevue Street ,Hyattsville,MD,20782
A165421,Trioware,717 N. Paris Hill Dr. ,Fairfax,VA,22030
A151721,Vicezio,57 Virginia St. ,Lake In The Hills,IL,60156
A129021,Zenphase,52 Kent Court ,Kalamazoo,MI,49009
A112621,Worldwares,195 University Lane ,Des Moines,IA,50310
A129521,Drillfix,8128 NW. Griffin Road ,Liverpool,NY,13090
A131521,Icenamway,9696 Aspen Dr. ,Westland,MI,48185
A109021,Goldentax,8542 Morris Dr. ,Cary,NC,27511
A127021,Massive Dynamic,7453 High Noon Street ,Southampton,PA,18966
A159621,Eimba,715 William Ave. ,Everett,MA,02149
A128521,Dreammart,888 Taylor St. ,West Chicago,IL,60185
A157421,Equgen,291 West James Drive ,Yorktown,VA,23693
A114421,Caminix,7147 Theatre St. ,Union,NJ,07083
A197021,The Dot Grill,7330 New Lane ,Brockton,MA,02301
A145821,Venend,643 North St Margarets Lane ,Woburn,MA,01801
A117821,Ozerity,86 Pheasant Lane ,Trussville,AL,35173
A143721,Infraveo,72 Ridge Ave. ,Westbury,NY,11590
A153621,Silver Lining Motors,6 Roosevelt Lane ,Sterling,VA,20164
A179721,Colous,87 Manchester Rd. ,Rowlett,TX,75088
A191621,Zathfase,7 Delaware Lane ,Rahway,NJ,07065
A171921,Freetone,1 Smoky Hollow Ave. ,Green Bay,WI,54302
A178921,Trunder,7082 Peninsula Lane ,Pasadena,MD,21122
A186421,Romefeller Foundation,142 Paris Hill Court ,Hope Mills,NC,28348
A111521,Rhyism,343 Wilson Street ,Plattsburgh,NY,12901
A106521,LesterCorp,9209 Surrey Ave. ,Charleston,SC,29406
A141421,Vicecee,8800 Somerset Court ,Battle Ground,WA,98604
A128321,Bionyx,7326 Marconi St. ,Lexington,NC,27292
A105221,Tanzunway,50 East Peg Shop Rd. ,Cumming,GA,30040
A164521,Parable Technologies,30 St Margarets Avenue ,Duarte,CA,91010
A124021,Diadoo,9373 Heather Lane ,Teaneck,NJ,07666
A167221,Sysescent,96 Thomas Drive ,Algonquin,IL,60102
A105821,Fintechi,7350 E. Cherry Hill Lane ,Camden,NJ,08105
A100221,Inch-Zoom,528 Orange Ave. ,Queensbury,NY,12804
A177221,Subent,808 Chapel Rd. ,Kalispell,MT,59901
A106821,Strongtaxon,9887 Livingston Ave. ,Vicksburg,MS,39180
A105521,Ganzcore,81 East Southampton Dr. ,Franklin Square,NY,11010
A118621,Hippodrome,232 Somerset St. ,Canal Winchester,OH,43110
A148321,The Laurel and Hardy Moving Company,7667 Manor Station Drive ,Farmington,MI,48331
A188721,Aurive,8081 Amherst Ave. ,Central Islip,NY,11722
A183621,Treselectrics,69 Glenwood Street ,North Canton,OH,44720
A121121,McCandless Communications Corporation,233 Mammoth St. ,New Haven,CT,06511
A160321,Epimm,81 Rocky River Road ,Brighton,MA,02135
A182421,Microware,974 Kirkland Street ,Montgomery,AL,36109
